medcode	readcode	readterm	condition	score
61390	B540000	malignant neoplasm of adrenal cortex	Any malignancy	2
61399	B510100	malignant neoplasm of cerebral cortex	Any malignancy	2
6140	H58y400	squamous metaplasia of lung	Chronic pulmonary disease	1
61461	9M00.00	informed consent for diabetes national audit	Diabetes (uncomplicated)	1
61467	BB5f300	"[m]follicular adenocarcinoma, trabecular type"	Any malignancy	2
61470	66Al.00	diabetic monitoring - higher risk albumin excretion	Diabetes (uncomplicated)	1
61494	K022.00	chronic membranoproliferative glomerulonephritis	Renal disease	2
61510	B062200	malignant neoplasm of palatoglossal arch	Any malignancy	2
61513	H311z00	mucopurulent chronic bronchitis nos	Chronic pulmonary disease	1
61523	C106y00	other specified diabetes mellitus with neurological comps	Diabetes with end-organ damage	2
61528	Eu00013	[x]alzheimer's disease type 2	Dementia	1
61542	BBQ7400	"[m]malignant teratoma, undifferentiated type"	Any malignancy	2
6155	G64..13	stroke due to cerebral arterial occlusion	Cerebrovascular disease	1
61555	B180z00	malignant neoplasm of retroperitoneum nos	Any malignancy	2
61557	8HKE.00	diabetology d.v. requested	Diabetes (uncomplicated)	1
61588	BB85000	[m]signet ring cell carcinoma	Any malignancy	2
61643	B151z00	malignant neoplasm of intrahepatic bile ducts nos	Any malignancy	2
61655	ZV10211	[v]personal history of malignant neoplasm - accessory sinus	Any malignancy	2
61662	B61z000	"hodgkin's disease nos, unspecified site"	Any malignancy	2
61666	7A45.00	emergency replacement of aneurysmal femoral/popliteal artery	Peripheral vascular disease	1
61670	889A.00	diab mellit insulin-glucose infus acute myocardial infarct	Myocardial infarction	1
61677	B562200	secondary and unspec malig neop inferior mesenteric ln	Metastatic solid tumour	4
61692	B004.00	"malignant neoplasm of lip unspecified, inner aspect"	Any malignancy	2
61695	B100.00	malignant neoplasm of cervical oesophagus	Any malignancy	2
6170	B590.11	carcinomatosis	Metastatic solid tumour	4
61716	B524100	"malignant neoplasm of peripheral nerve,upp limb,incl should"	Any malignancy	2
61741	B304200	malignant neoplasm of humerus	Any malignancy	2
61803	B832.11	carcinoma in situ of body of uterus	Any malignancy	2
61814	K0A0700	acute nephrotic syndrm diffuse crescentic glomerulonephritis	Renal disease	2
61829	C108212	type 1 diabetes mellitus with neurological complications	Diabetes with end-organ damage	2
61884	2992	o/e - gait spastic	Hemiplegia or paraplegia	2
61930	Kyu2.00	[x]renal failure	Renal disease	2
61974	7A48.11	other bypass of femoral or popliteal artery by anastomosis	Peripheral vascular disease	1
61984	BB1G.00	[m]spheroidal cell carcinoma	Any malignancy	2
61989	B828X00	melanoma in situ of other and unspecified parts of face	Any malignancy	2
61991	H56y000	endogenous lipoid pneumonia	Chronic pulmonary disease	1
61997	BBj0.00	[m]hodgkin's disease nos	Any malignancy	2
62025	7A45200	emerg replace aneurysm fem art by fem/pop anast c vein graft	Peripheral vascular disease	1
62080	B332100	malignant neoplasm of skin of external auditory meatus	Any malignancy	2
62088	BBEG.00	[m]malignant melanoma in hutchinson's melanotic freckle	Any malignancy	2
62104	B300800	malignant neoplasm of temporal bone	Any malignancy	2
62107	C109511	type ii diabetes mellitus with gangrene	Diabetes with end-organ damage	2
62124	B561800	secondary and unspec malig neop bronchopulmonary lymph nodes	Metastatic solid tumour	4
62126	B510500	malignant neoplasm of thalamus	Any malignancy	2
62132	E02y100	drug-induced dementia	Dementia	1
62146	C109300	non-insulin-dependent diabetes mellitus with multiple comps	Diabetes with end-organ damage	2
62182	B200300	malignant neoplasm of vestibule of nose	Any malignancy	2
62199	BB5W.00	[m]oxyphilic adenomas and adenocarcinomas	Any malignancy	2
6220	C370.00	cystic fibrosis	Chronic pulmonary disease	1
62200	H351.00	bagassosis	Chronic pulmonary disease	1
62209	C10EM11	type i diabetes mellitus with ketoacidosis	Diabetes (uncomplicated)	1
62233	H421.00	simple silicosis	Chronic pulmonary disease	1
62279	7L0D114	l'episcopo operation for obstetric palsy	Hemiplegia or paraplegia	2
6228	G68X.00	"sequelae of stroke,not specfd as h'morrhage or infarction"	Cerebrovascular disease	1
62301	7A11y00	replacement of aneurysmal bifurcation of aorta os	Peripheral vascular disease	1
62305	B335800	malignant neoplasm of skin of buttock	Any malignancy	2
62320	K0A1700	rapid progres nephritic syn df crescentic glomerulonephritis	Renal disease	2
62342	G615.00	bulbar haemorrhage	Cerebrovascular disease	1
62348	BBT1.00	[m]haemangiosarcoma	Any malignancy	2
62352	C108H11	type i diabetes mellitus with arthropathy	Diabetes with end-organ damage	2
62368	G742200	embolism and thrombosis of the ulnar artery	Peripheral vascular disease	1
62380	B601200	lymphosarcoma of intrathoracic lymph nodes	Any malignancy	2
62384	2G5V.00	o/e - right chronic diabetic foot ulcer	Diabetes with end-organ damage	2
62396	BBF6.00	[m]epithelioid cell sarcoma	Any malignancy	2
62399	B332z00	malig neop skin of ear and external auricular canal nos	Any malignancy	2
62401	F371200	polyneuropathy in rheumatoid arthritis	Rheumatic disease	1
62437	B62x400	malignant reticulosis	Any malignancy	2
62442	H35z000	allergic extrinsic alveolitis nos	Chronic pulmonary disease	1
62475	B326300	malignant melanoma of hand	Any malignancy	2
62520	K03W.00	"unsp nephrit synd, diff endocap prolif glomerulonephritis"	Renal disease	2
6253	G66..12	stroke unspecified	Cerebrovascular disease	1
62556	B24..00	"malignant neoplasm of thymus, heart and mediastinum"	Any malignancy	2
62582	G852z00	oesophageal varices in diseases ec nos	Moderate or severe liver disease	3
62584	B573.00	secondary malignant neoplasm of other respiratory organs	Metastatic solid tumour	4
62610	B81z.00	carcinoma in situ of respiratory organ nos	Any malignancy	2
62613	C10EA11	type i diabetes mellitus without complication	Diabetes (uncomplicated)	1
62630	B307z00	malignant neoplasm of long bones of leg nos	Any malignancy	2
62674	C10FA00	type 2 diabetes mellitus with mononeuropathy	Diabetes with end-organ damage	2
62707	H4yz.00	external agent causing respiratory conditions nos	Chronic pulmonary disease	1
62718	G21z100	hypertensive heart disease nos with ccf	Congestive heart failure	1
62761	B200200	malignant neoplasm of septum of nose	Any malignancy	2
62785	ZV10017	[v]personal history of malignant neoplasm of rectum	Any malignancy	2
62828	B581z00	secondary malignant neoplasm of other urinary organ nos	Metastatic solid tumour	4
62840	B013.00	malignant neoplasm of ventral surface of tongue	Any malignancy	2
62854	AyuC.00	[x]human immunodeficiency virus disease	HIV/AIDS	4
62868	K032300	anaphylactoid glomerulonephritis	Renal disease	2
62871	BB92.00	"[m]comedocarcinoma, noninfiltrating"	Any malignancy	2
62891	A788y00	human immunodeficiency virus with other clinical findings	HIV/AIDS	4
62909	B575100	secondary malignant neoplasm of rectum	Metastatic solid tumour	4
62939	B825100	carcinoma in situ of skin of chest wall nos	Any malignancy	2
62941	BBe2.00	[m]neurofibrosarcoma	Any malignancy	2
62980	K0A5X00	"hereditary nephropathy, unspecif morphological changes"	Renal disease	2
63001	J112.00	anti-platelet induced gastric ulcer	Peptic ulcer disease	1
63017	C108911	type i diabetes mellitus maturity onset	Diabetes (uncomplicated)	1
63038	ZV56z00	[v]unspecified aftercare involving intermittent dialysis	Renal disease	2
63054	B614z00	"hodgkin's disease, nodular sclerosis nos"	Any malignancy	2
63059	G723z00	aneurysm of leg artery nos	Peripheral vascular disease	1
63087	B802200	carcinoma in situ of body of stomach	Any malignancy	2
63102	BB5B100	[m]islet cell carcinoma	Any malignancy	2
63104	B501z00	malignant neoplasm of orbit nos	Any malignancy	2
63105	B62y500	malignant lymphoma nos of lymph node inguinal region and leg	Any malignancy	2
63142	B82z.00	carcinoma in situ of skin nos	Any malignancy	2
63172	H450.00	pneumoconiosis associated with tuberculosis	Chronic pulmonary disease	1
63174	H563.11	hamman - rich syndrome	Chronic pulmonary disease	1
63198	N040A00	rheumatoid arthritis of dip joint of finger	Rheumatic disease	1
6321	14C1.11	h/o: duodenal ulcer	Peptic ulcer disease	1
63216	H464100	obliterative bronchiolitis due to chemical fumes	Chronic pulmonary disease	1
63224	B48z.00	malignant neoplasm of penis and other male genital organ nos	Any malignancy	2
63233	TJF7z00	adverse reaction to antiasthmatic nos	Chronic pulmonary disease	1
63238	7A47.13	other emergency bypass of deep femoral artery	Peripheral vascular disease	1
63239	BBm1.00	[m]malignant histiocytosis	Any malignancy	2
63247	BBK3611	[m]sarcoma botryoides	Any malignancy	2
6328	B834.00	carcinoma in situ of prostate	Any malignancy	2
63280	7A42.11	reconstruction of common iliac artery	Peripheral vascular disease	1
63286	BBN5.00	[m]clear cell sarcoma of tendons and aponeuroses	Any malignancy	2
63300	Byu3200	[x]malignant neoplasm/overlap lesion/bone+articulr cartilage	Any malignancy	2
6333	J11..11	prepyloric ulcer	Peptic ulcer disease	1
63331	B485.00	malignant neoplasm of spermatic cord	Any malignancy	2
63357	C107100	"diabetes mellitus, adult, + peripheral circulatory disorder"	Diabetes with end-organ damage	2
63365	N040600	rheumatoid arthritis of distal radio-ulnar joint	Rheumatic disease	1
63371	C10y100	"diabetes mellitus, adult, + other specified manifestation"	Diabetes (uncomplicated)	1
63375	ByuDE00	[x]unspecified b-cell non-hodgkin's lymphoma	Any malignancy	2
63408	7A13411	tube graft abdominal aortic aneurysm (emergency)	Peripheral vascular disease	1
63412	8CR2.00	diabetes clinical management plan	Diabetes (uncomplicated)	1
63430	B241000	malignant neoplasm of endocardium	Any malignancy	2
63456	J632200	hepatitis in secondary syphilis	Mild liver disease	1
63460	B213000	malignant neoplasm of arytenoid cartilage	Any malignancy	2
63467	G306.00	true posterior myocardial infarction	Myocardial infarction	1
63470	B102.00	malignant neoplasm of abdominal oesophagus	Any malignancy	2
63479	H32y200	macleod's unilateral emphysema	Chronic pulmonary disease	1
63482	J14y.00	unspecified gastrojejunal ulcer	Peptic ulcer disease	1
63488	ZV56y00	[v]other specified aftercare involving intermittent dialysis	Renal disease	2
63502	Z91A.00	peritoneal dialysis bag procedure	Renal disease	2
63518	BBLE.00	[m]adenosarcoma	Any malignancy	2
63548	SP11200	cardiorespiratory failure as a complication of care	Congestive heart failure	1
63555	F374z00	polyneuropathy in disease nos	Diabetes with end-organ damage	2
6356	7A4B000	percutaneous transluminal angioplasty of femoral artery	Peripheral vascular disease	1
63568	B524000	"malignant neoplasm of peripheral nerves of head, face & neck"	Any malignancy	2
63571	BBV..12	[m]parosteal osteosarcoma	Any malignancy	2
63574	BBEC.00	[m]malignant melanoma in junctional naevus	Any malignancy	2
63582	J111100	chronic gastric ulcer with haemorrhage	Peptic ulcer disease	1
63598	ByuE.00	[x]malignant neoplasms/independent (primary) multiple sites	Any malignancy	2
63599	K00y.00	other acute glomerulonephritis	Renal disease	2
63615	K02yz00	other chronic glomerulonephritis nos	Renal disease	2
63625	B616400	hodgkin's lymphocytic depletion lymph nodes axilla and arm	Any malignancy	2
63652	F103000	cerebral degeneration in hunter's disease	Dementia	1
63657	B503.00	malignant neoplasm of conjunctiva	Any malignancy	2
63659	BBW6.00	[m]juxtacortical chondrosarcoma	Any malignancy	2
63690	C10FR00	type 2 diabetes mellitus with gastroparesis	Diabetes with end-organ damage	2
63695	B524300	malignant neoplasm of peripheral nerve of thorax	Any malignancy	2
63699	BBk0.00	"[m]malignant lymphoma, nodular nos"	Any malignancy	2
63718	761D600	endoscopic injection haemostasis of gastric ulcer	Peptic ulcer disease	1
63723	B601z00	lymphosarcoma nos	Any malignancy	2
63762	C10z100	"diabetes mellitus, adult onset, + unspecified complication"	Diabetes with end-organ damage	2
63786	K01w.00	congenital nephrotic syndrome	Renal disease	2
63804	B807100	carcinoma in situ of jejunum	Any malignancy	2
63830	G63..12	stenosis of precerebral arteries	Cerebrovascular disease	1
63864	BBn2.00	[m]plasmacytoma nos	Any malignancy	2
63896	B582400	secondary malignant neoplasm of skin of shoulder and arm	Metastatic solid tumour	4
63912	H57yz00	lung disease with diseases ec nos	Chronic pulmonary disease	1
63915	B564.00	secondary and unspec malig neop inguinal and lower limb ln	Metastatic solid tumour	4
63920	G713000	ruptured suprarenal aortic aneurysm	Peripheral vascular disease	1
63925	ByuA200	"[x]malignant neoplasm of meninges, unspecified"	Any malignancy	2
63957	B820.00	carcinoma in situ of skin of lip	Any malignancy	2
63979	B013100	malignant neoplasm of frenulum linguae	Any malignancy	2
63988	B311500	malignant neoplasm of connective and soft tissue of thumb	Any malignancy	2
63994	BBgS.00	"[m]malignant lymphoma, large cell, cleaved, diffuse"	Any malignancy	2
63995	B123.00	malignant neoplasm of meckel's diverticulum	Any malignancy	2
63997	B326500	malignant melanoma of thumb	Any malignancy	2
64014	761J100	closure of gastric ulcer nec	Peptic ulcer disease	1
64030	Kyu5G00	"[x]persistent proteinuria, unspecified"	Renal disease	2
64036	B612.00	hodgkin's sarcoma	Any malignancy	2
64050	B81..00	carcinoma in situ of respiratory system	Any malignancy	2
64062	9hH1.00	excepted heart failure quality indicators: informed dissent	Congestive heart failure	1
64089	B808500	carcinoma in situ of common bile duct	Any malignancy	2
64106	B18yz00	malignant neoplasm of specified parts of peritoneum nos	Any malignancy	2
64111	J13y200	unspecified peptic ulcer with perforation	Peptic ulcer disease	1
64116	B561.00	secondary and unspec malig neop intrathoracic lymph nodes	Metastatic solid tumour	4
64142	8Hl1.00	referral for diabetic retinopathy screening	Diabetes (uncomplicated)	1
64165	J110000	acute gastric ulcer without mention of complication	Peptic ulcer disease	1
64195	B54z.00	malig neop of endocrine gland or related structure nos	Any malignancy	2
64267	Eu02y00	[x]dementia in other specified diseases classif elsewhere	Dementia	1
64270	B337500	malignant neoplasm of skin of ankle	Any malignancy	2
64274	B801100	carcinoma in situ of middle 1/3 oesophagus	Any malignancy	2
64283	C10zy00	other specified diabetes mellitus with unspecified comps	Diabetes with end-organ damage	2
6430	9NM0.00	attending diabetes clinic	Diabetes (uncomplicated)	1
64309	ByuB100	"[x]malignant neoplasm of endocrine gland, unspecified"	Any malignancy	2
64327	B327z00	malignant melanoma of lower limb or hip nos	Any malignancy	2
64336	ByuD300	[x]other specified types of non-hodgkin's lymphoma	Any malignancy	2
64343	BBj6100	"[m]hodgkin,s disease, nodular sclerosis, mixed cellularity"	Any malignancy	2
64345	B311100	"malignant neoplasm of connective and soft tissue, upper arm"	Any malignancy	2
64357	C10zz00	diabetes mellitus nos with unspecified complication	Diabetes with end-organ damage	2
6436	BB43.00	[m]transitional cell carcinoma nos	Any malignancy	2
64406	B336500	malignant neoplasm of skin of thumb	Any malignancy	2
64427	B62z100	unspec malig neop lymphoid/histiocytic lymph node head/neck	Any malignancy	2
64446	C108G00	insulin dependent diab mell with peripheral angiopathy	Diabetes with end-organ damage	2
64449	C108z00	unspecified diabetes mellitus with multiple complications	Diabetes with end-organ damage	2
64462	B083.00	malignant neoplasm of posterior pharynx	Any malignancy	2
64482	K101000	acute pyelonephritis without medullary necrosis	Renal disease	2
