medcode	readcode	readterm	condition
43548	B080.00	malignant neoplasm of postcricoid region	Solid tumour or leukaemia
43552	B630.11	kahler's disease	Lymphoma
4357	Eu02z14	[x] senile dementia nos	Other neurological disorders
43572	B114.00	malignant neoplasm of body of stomach	Solid tumour or leukaemia
43583	F21y.00	other specified central nervous system demyelinating disease	Other neurological disorders
43594	BB5Cz00	[m]gastrinoma or carcinoma nos	Solid tumour or leukaemia
43611	K0A4.00	isolated proteinuria with specified morphological lesion	Renal disease
43614	B30X.00	"malignant neoplasm/bones+articular cartilage/limb,unspfd"	Solid tumour or leukaemia
43618	G581.12	pulmonary oedema - acute	Congestive heart failure
43619	B334100	malignant neoplasm of skin of neck	Solid tumour or leukaemia
43631	M210.11	addison's keloid	Rheumatoid arthritis and collagen diseases
43642	B011.00	malignant neoplasm of dorsal surface of tongue	Solid tumour or leukaemia
43679	Eu80300	[x]acquired aphasia with epilepsy [landau - kleffner]	Other neurological disorders
43715	B325600	malignant melanoma of umbilicus	Solid tumour or leukaemia
43717	BB24.11	[m]verrucous epidermoid carcinoma	Solid tumour or leukaemia
4372	G202.00	systolic hypertension	Hypertension (uncomplicated)
4374	G574.00	ventricular fibrillation and flutter	Cardiac arrythmia
43761	B451.00	malignant neoplasm of labia majora	Solid tumour or leukaemia
43770	13Y4.00	asthma society member	Chronic pulmonary disease
43778	7911000	allograft replacement of aortic valve	Valvular disease
43781	B011z00	malignant neoplasm of dorsum of tongue nos	Solid tumour or leukaemia
43785	C109D00	non-insulin dependent diabetes mellitus with hypoglyca coma	Diabetes (uncomplicated)
43796	ZV12100	[v]personal history of nutritional deficiency	Weight loss
43800	E107200	chronic schizo-affective schizophrenia	Psychoses
43816	G5yA.00	rheumatoid carditis	Rheumatoid arthritis and collagen diseases
43824	D307211	acquired prothrombin deficiency	Coagulopathy
43855	G542z00	tricuspid valve disorders nos	Valvular disease
43857	C10M.00	lipoatrophic diabetes mellitus	Diabetes with end-organ damage
43860	7936900	implantation of intravenous atrial overdrive pacemaker	Cardiac arrythmia
4388	B020.00	malignant neoplasm of parotid gland	Solid tumour or leukaemia
4390	285..11	"psychotic condition, insight present"	Psychoses
43921	C10E400	unstable type 1 diabetes mellitus	Diabetes (uncomplicated)
43923	7913000	allograft replacement of pulmonary valve	Valvular disease
43930	B582000	secondary malignant neoplasm of skin of head	Metastatic cancer
43935	G221.00	benign hypertensive renal disease	Hypertension with end-organ damage
43940	B431.00	malignant neoplasm of isthmus of uterine body	Solid tumour or leukaemia
43951	66AK.00	diabetic - cooperative patient	Diabetes (uncomplicated)
44015	H4y2.00	drug-induced interstitial lung disorders	Chronic pulmonary disease
44026	N10y.00	other inflammatory spondylopathies	Rheumatoid arthritis and collagen diseases
4403	B577.11	liver metastases	Metastatic cancer
44033	F345000	diabetic mononeuritis multiplex	Diabetes with end-organ damage
44055	K03yz00	other nephritis and nephrosis nos	Renal disease
4406	J631100	hepatitis in cytomegalic inclusion virus	Liver disease
44061	BBEQ.00	[m]spindle cell melanoma nos	Solid tumour or leukaemia
44073	J121400	chronic duodenal ulcer with obstruction	Peptic ulcer disease
44074	BB84.00	[m]mucin-producing adenocarcinoma	Solid tumour or leukaemia
44085	G742.00	embolism and thrombosis of an arm or leg artery	Peripheral vascular disease
44089	B517.00	malignant neoplasm of brain stem	Solid tumour or leukaemia
44095	F371000	polyneuropathy in disseminated lupus erythematosus	Rheumatoid arthritis and collagen diseases
44096	G56z.00	conduction disorders unspecified	Cardiac arrythmia
44108	B18..00	malignant neoplasm of retroperitoneum and peritoneum	Solid tumour or leukaemia
44120	J635600	toxic liver disease with fibrosis and cirrhosis of liver	Liver disease
44139	B073.00	malignant neoplasm of anterior wall of nasopharynx	Solid tumour or leukaemia
44141	N001000	progressive systemic sclerosis	Rheumatoid arthritis and collagen diseases
44157	BBE1.13	[m]melanosarcoma nos	Solid tumour or leukaemia
44166	B80z.00	carcinoma in situ of other and unspecified digestive organs	Solid tumour or leukaemia
44167	G141.00	rheumatic pulmonary valve disease	Valvular disease
44169	B222z00	"malignant neoplasm of upper lobe, bronchus or lung nos"	Solid tumour or leukaemia
44192	L431.00	amniotic fluid pulmonary embolism	Pulmonary circulation disorders
44196	B611.00	hodgkin's granuloma	Lymphoma
44203	N040100	other rheumatoid arthritis of spine	Rheumatoid arthritis and collagen diseases
44228	B801z00	carcinoma in situ of oesophagus nos	Solid tumour or leukaemia
44250	7A41000	emerg bypass iliac art by iliac/femoral art anastomosis nec	Peripheral vascular disease
44252	F250z00	generalised nonconvulsive epilepsy nos	Other neurological disorders
44260	C108F00	insulin dependent diabetes mellitus with diabetic cataract	Diabetes with end-organ damage
44267	B623.00	malignant histiocytosis	Lymphoma
44270	K0A5200	"hereditry nephropathy nec,difus membran glomerulnephritis"	Renal disease
44284	J11yz00	unspecified gastric ulcer nos	Peptic ulcer disease
44288	R109.00	[d]laboratory evidence of human immunodeficiency virus [hiv]	HIV/AIDS
44300	Eu33z00	"[x]recurrent depressive disorder, unspecified"	Depression
44303	A789.00	human immunodef virus resulting in other disease	HIV/AIDS
44307	Eu23300	[x]other acute predominantly delusional psychotic disorders	Psychoses
44309	J111z00	chronic gastric ulcer nos	Peptic ulcer disease
44312	9M10.00	informed dissent for diabetes national audit	Diabetes (uncomplicated)
44318	B62xX00	oth and unspecif peripheral & cutaneous t-cell lymphomas	Lymphoma
44324	J110z00	acute gastric ulcer nos	Peptic ulcer disease
44328	G112.13	mitral stenosis with regurgitation	Valvular disease
44335	J120000	acute duodenal ulcer without mention of complication	Peptic ulcer disease
44350	U60C51A	[x] adverse reaction to antihypertensives nos	Hypertension (uncomplicated)
44356	B2z..00	malig neop other/ill-defined sites resp/intrathoracic organs	Solid tumour or leukaemia
44399	B150z00	primary malignant neoplasm of liver nos	Solid tumour or leukaemia
44404	L43z400	obstetric pulmonary embolism nos with postnatal complication	Pulmonary circulation disorders
4442	H33z.00	asthma unspecified	Chronic pulmonary disease
44421	ZV67A00	[v]folow-up exam aft other treatment for malignant neoplasm	Solid tumour or leukaemia
44422	14V2.11	h/o: kidney dialysis	Renal disease
44424	G852.00	oesophageal varices in diseases ec	Liver disease
44425	H501200	pleural empyema	Chronic pulmonary disease
44430	7A42111	endarterectomy of common iliac artery nec	Peripheral vascular disease
44439	7A46.14	other replacement of aneurysmal popliteal artery	Peripheral vascular disease
4444	662..12	hypertension monitoring	Hypertension (uncomplicated)
44440	C108E00	insulin dependent diabetes mellitus with hypoglycaemic coma	Diabetes (uncomplicated)
44443	C108500	insulin dependent diabetes mellitus with ulcer	Diabetes with end-organ damage
44452	B300C00	malignant neoplasm of vomer	Solid tumour or leukaemia
44478	P60z.00	other pulmonary valve anomalies	Valvular disease
44488	G112.00	mitral stenosis with insufficiency	Valvular disease
44498	E100400	acute exacerbation of chronic schizophrenia	Psychoses
44503	Eu23y00	[x]other acute and transient psychotic disorders	Psychoses
44513	Eu30z00	"[x]manic episode, unspecified"	Psychoses
44525	H312z00	obstructive chronic bronchitis nos	Chronic pulmonary disease
44528	SP12z00	peripheral vascular complications of care nos	Peripheral vascular disease
44529	B575.00	secondary malignant neoplasm of large intestine and rectum	Metastatic cancer
4454	J620z00	liver abscess nos	Liver disease
44592	F11xz00	cerebral degeneration other disease nos	Other neurological disorders
44609	B306000	malignant neoplasm of ilium	Solid tumour or leukaemia
44615	B586.00	secondary malignant neoplasm of ovary	Metastatic cancer
44617	A789600	hiv disease resulting in burkitt's lymphoma	Lymphoma
44627	B560800	secondary and unspec malig neop anterior cervical ln	Metastatic cancer
44663	B800900	carcinoma in situ of hypopharynx	Solid tumour or leukaemia
44674	E002.00	senile dementia with depressive or paranoid features	Other neurological disorders
44676	J615400	fatty portal cirrhosis	Liver disease
44690	7918y00	other specified other open operation on valve of heart	Valvular disease
44693	Eu31600	"[x]bipolar affective disorder, current episode mixed"	Psychoses
4473	BBY0.00	[m]ewing's sarcoma	Solid tumour or leukaemia
44740	G680.00	sequelae of subarachnoid haemorrhage	Other neurological disorders
44743	N040000	rheumatoid arthritis of cervical spine	Rheumatoid arthritis and collagen diseases
4475	D01..11	megaloblastic anaemia	Deficiency anaemia
44765	G653.00	carotid artery syndrome hemispheric	Other neurological disorders
44767	P6yy.11	hypoplastic aortic orifice or valve	Valvular disease
44778	BB52000	[m]adenocarcinoma in tubulovillous adenoma	Solid tumour or leukaemia
44779	C109E12	type 2 diabetes mellitus with diabetic cataract	Diabetes with end-organ damage
4478	F256.00	infantile spasms	Other neurological disorders
44791	J661900	sclerosing cholangitis unspecified	Liver disease
44795	F210.00	neuromyelitis optica	Other neurological disorders
44835	G742900	embolism and thrombosis of a leg artery nos	Peripheral vascular disease
44848	8BK0.00	depression management programme	Depression
44884	B4Ay.00	malignant neoplasm of other urinary organs	Solid tumour or leukaemia
44908	1B33.00	paralysis present	Paralysis
44915	B833.00	carcinoma in situ other and unspecified female genital organ	Solid tumour or leukaemia
44930	BB81800	[m]papillary serous cystadenocarcinoma	Solid tumour or leukaemia
44931	B562z00	secondary and unspec malig neop intra-abdominal ln nos	Metastatic cancer
44982	C10FE00	type 2 diabetes mellitus with diabetic cataract	Diabetes with end-organ damage
44985	666A.00	multiple sclerosis review	Other neurological disorders
44991	E243300	cannabis dependence in remission	Drug abuse
44996	B491.00	malignant neoplasm of dome of urinary bladder	Solid tumour or leukaemia
4500	E011000	korsakov's alcoholic psychosis	Alcohol abuse
45000	G723.00	aneurysm of leg artery	Peripheral vascular disease
4501	C251.11	wernicke's encephalopathy	Other neurological disorders
4506	J153.00	alcoholic gastritis	Alcohol abuse
45070	B807000	carcinoma in situ of duodenum	Solid tumour or leukaemia
45071	B314.00	malignant neoplasm of connective and soft tissue of abdomen	Solid tumour or leukaemia
45073	H331z00	intrinsic asthma nos	Chronic pulmonary disease
45077	B335700	malignant neoplasm of skin of back	Solid tumour or leukaemia
45089	H31y100	chronic tracheobronchitis	Chronic pulmonary disease
4513	C109.00	non-insulin dependent diabetes mellitus	Diabetes (uncomplicated)
45139	B323400	malignant melanoma of external surface of nose	Solid tumour or leukaemia
45154	B516.00	malignant neoplasm of cerebellum	Solid tumour or leukaemia
45160	ZV56y11	[v]aftercare involving peritoneal dialysis	Renal disease
45169	Eu10y00	[x]men & behav dis due to use alcohol: oth men & behav dis	Alcohol abuse
45184	J140.00	acute gastrojejunal ulcer	Peptic ulcer disease
45217	B807200	carcinoma in situ of ileum	Solid tumour or leukaemia
45222	B343.00	malignant neoplasm of lower-inner quadrant of female breast	Solid tumour or leukaemia
45250	ZL22500	under care of diabetic liaison nurse	Diabetes (uncomplicated)
45256	7915100	revision of plastic repair of aortic valve	Valvular disease
45260	Byu9000	"[x]malignant neoplasm of urinary organ, unspecified"	Solid tumour or leukaemia
45262	Byu8200	"[x]malignant neoplasm of male genital organ, unspecified"	Solid tumour or leukaemia
45264	B620100	"nodular lymphoma of lymph nodes of head, face and neck"	Lymphoma
45267	B55z.00	malignant neoplasm of other and ill defined site nos	Solid tumour or leukaemia
45276	C10E312	insulin dependent diabetes mellitus with multiple complicat	Diabetes with end-organ damage
45283	791A.00	remove obstruction from structure adjacent to valve of heart	Valvular disease
45306	B324100	malignant melanoma of neck	Solid tumour or leukaemia
45307	B2...11	carcinoma of respiratory tract and intrathoracic organs	Solid tumour or leukaemia
45308	7A27C00	operation on aneurysm of subclavian artery	Peripheral vascular disease
45384	P76..00	other peripheral vascular system anomalies	Peripheral vascular disease
4539	G742500	embolism and thrombosis of the popliteal artery	Peripheral vascular disease
45408	B040.00	malignant neoplasm of anterior portion of floor of mouth	Solid tumour or leukaemia
45427	H35y500	pituitary snuff-takers' disease	Chronic pulmonary disease
45428	7A48C00	bypass femoral artery by femoral/femoral art anastomosis nec	Peripheral vascular disease
45452	P602100	congenital fusion of pulmonary valve segment	Valvular disease
45458	BB2F.00	"[m]squamous cell carcinoma, spindle cell type"	Solid tumour or leukaemia
45467	C109B00	non-insulin dependent diabetes mellitus with polyneuropathy	Diabetes with end-organ damage
45474	7A13z00	emergency replacement of aneurysmal segment of aorta nos	Peripheral vascular disease
45477	7A13y00	emergency replacement of aneurysmal segment of aorta os	Peripheral vascular disease
4548	G541.00	aortic valve disorders	Valvular disease
4549	G56..12	heart block	Cardiac arrythmia
45490	B430z00	malignant neoplasm of corpus uteri nos	Solid tumour or leukaemia
45491	C10z.00	diabetes mellitus with unspecified complication	Diabetes with end-organ damage
45499	K01x111	kimmelstiel - wilson disease	Renal disease
45510	BB2M.00	[m]lymphoepithelial carcinoma	Solid tumour or leukaemia
45521	G714000	juxtarenal aortic aneurysm	Peripheral vascular disease
45535	9h6..00	exception reporting: epilepsy quality indicators	Other neurological disorders
4554	B454.00	malignant neoplasm of vulva unspecified	Solid tumour or leukaemia
4555	B45..00	malig neop of other and unspecified female genital organs	Solid tumour or leukaemia
45550	9HC2.00	substance misuse clinical management plan agreed	Drug abuse
45551	F230z00	congenital diplegia nos	Paralysis
45602	F132200	myoclonic encephalopathy	Other neurological disorders
45608	32K3.00	ecg: q-t interval prolonged	Cardiac arrythmia
45637	D303300	deficiency of factor vii or stable factor	Coagulopathy
45645	G741.00	embolism and thrombosis of the thoracic aorta	Peripheral vascular disease
45667	B501.00	malignant neoplasm of orbit	Solid tumour or leukaemia
45681	B83..00	carcinoma in situ of breast and genitourinary system	Solid tumour or leukaemia
